A,B,C,D
1.0,27.0,7.039999998658896,274.2399999904633
2.0,36.0,9.01999999910593,355.26999999165537
3.0,20.0,11.120000000596047,211.05999999821185
4.0,33.0,13.210000004172326,328.0300000007451
5.0,32.0,14.999999999552966,319.1300000059605
6.0,8.0,17.169999997615815,103.26999999165535
7.0,9.0,19.039999998658896,112.28000001192093
8.0,14.0,21.09999999731779,157.09999999731778
9.0,33.0,23.32000000357628,328.1999999988079
10.0,37.0,25.35999999523163,364.2399999904633
11.0,21.0,27.169999997615815,220.03999999865889
12.0,19.0,29.32000000357628,202.01999999910592
13.0,2.0,31.089999999403954,49.32999999403953
14.0,17.0,33.08999999940395,184.03999999865889
15.0,14.0,35.05999999821186,157.28000001192092
16.0,38.0,37.26999999165535,373.0700000035763
17.0,8.0,38.98999999977648,103.00999999932945
18.0,5.0,41.150000001788136,76.0999999973178
19.0,17.0,43.320000003576276,184.05999999821185
20.0,38.0,45.030000000745055,373.32999999403955
21.0,20.0,47.13000000596046,211.36999998569488
22.0,4.0,48.98999999977648,67.05000000029803
23.0,1.0,51.18000000298023,40.21000000417232
24.0,27.0,53.009999999329445,274.25000001072885
25.0,11.0,55.160000007152554,130.15000000178813
26.0,27.0,56.98,274.26999999165537
27.0,9.0,59.25000001072883,112.12000000059605
28.0,21.0,61.26000000119209,220.35000000476836
29.0,29.0,63.36999998569488,292.31000001311304
30.0,33.0,65.35999999523163,327.999999999553
31.0,24.0,67.16999999761582,247.03999999865889
32.0,25.0,69.16000000715256,256.13999999642374
33.0,32.0,71.34000001430512,318.999999999553
34.0,22.0,73.12000000059605,228.98999999977647
35.0,24.0,75.07000000357628,247.18000000298022
36.0,0.0,76.99999999955297,31.23
37.0,33.0,79.01999999910593,328.21000000417234
38.0,9.0,80.99999999955297,112.1899999934435
39.0,26.0,83.00999999932945,265.26999999165537
40.0,18.0,85.05000000029803,193.12000000059604
41.0,15.0,87.16999999761582,166.10999999523162
42.0,1.0,89.16000000715256,40.35000000476837
43.0,8.0,90.99999999955297,103.13000000596047
44.0,7.0,92.99999999955297,94.29000000238419
45.0,12.0,95.32000000357628,139.03000000074505
46.0,14.0,97.32000000357628,157.26999999165534
47.0,15.0,98.98,166.26999999165534
48.0,38.0,101.00999999932945,373.2199999946356
49.0,33.0,103.0999999973178,328.13999999642374
50.0,33.0,105.26999999165535,328.15000000178816
51.0,16.0,107.1899999934435,175.36999998569488
52.0,13.0,109.21000000417233,147.99999999955295
53.0,20.0,111.0399999986589,211.35999999523162
54.0,30.0,113.32000000357628,301.01999999910595
55.0,27.0,115.18000000298024,274.18000000298025
56.0,16.0,117.21000000417233,175.13000000596045
57.0,1.0,119.10999999523163,40.25000001072883
58.0,11.0,120.98999999977649,130.36999998569488
59.0,8.0,123.32999999403954,103.03000000074506
60.0,7.0,124.99999999955297,94.18000000298024
61.0,26.0,127.29999999284745,265.2199999946356
62.0,9.0,129.16000000715255,112.01999999910593
63.0,18.0,131.29999999284743,193.36999998569488
64.0,0.0,133.13000000596045,31.23
65.0,4.0,135.050000000298,67.00999999932945
66.0,39.0,137.32000000357627,382.15000000178816
67.0,9.0,139.36999998569488,112.01999999910593
68.0,12.0,141.16000000715255,139.1999999988079
69.0,8.0,143.32999999403953,103.08000000149012
70.0,23.0,145.08999999940394,238.23999999046325
71.0,36.0,147.23,355.3699999856949
72.0,12.0,149.23999999046325,139.28000001192092
73.0,19.0,151.18000000298022,202.25000001072883
74.0,0.0,153.21000000417231,31.290000002384186
75.0,8.0,155.13000000596045,103.00999999932945
76.0,19.0,157.26000000119208,202.03999999865889
77.0,27.0,158.98999999977647,274.0599999982119
78.0,35.0,160.98999999977647,346.10999999523165
79.0,25.0,163.3400000143051,256.21000000417234
80.0,6.0,165.050000000298,85.21000000417233
81.0,7.0,167.15000000178813,94.32000000357628
82.0,26.0,169.15000000178813,265.0599999982119
83.0,11.0,171.23999999046325,129.98
84.0,0.0,173.01999999910592,31.050000000298024
85.0,25.0,175.21999999463557,256.1899999934435
86.0,35.0,177.310000013113,346.1899999934435
87.0,4.0,179.00999999932944,67.25000001072884
88.0,11.0,181.21999999463557,130.28000001192092
89.0,26.0,183.26999999165534,264.999999999553
90.0,3.0,185.23,58.35000000476837
91.0,33.0,186.98,328.10999999523165
92.0,0.0,189.07000000357627,31.18999999344349
93.0,3.0,190.98,58.359999995231625
94.0,38.0,194.0,373.16999999761583
95.0,29.0,195.00999999932944,292.05000000029804
96.0,24.0,197.28000001192092,247.15000000178813
97.0,18.0,199.00999999932944,193.15000000178813
98.0,6.0,201.01999999910592,85.01999999910593
99.0,10.0,203.10999999523162,121.03000000074506
100.0,13.0,204.98,148.08999999940394
